Part_Name,Count,Percentage
Bumper Front Assembly,55074,5.83
Bumper Rear Assembly,23974,2.54
Head Light Left,23447,2.48
Head Light Right,21415,2.27
Windshield Glass Front,18355,1.94
Sealant Front Windshield Glass 1,17169,1.82
Fender Panel Front Left,16058,1.7
Fender Panel Front Right,15749,1.67
Bonnet|Hood Assembly,14952,1.58
Moulding Front Windshield,13535,1.43
Grille Radiator Lower,12433,1.32
Grille Radiator Upper,10071,1.07
AC Condenser Assembly,9500,1.01
Radiator Assembly,8808,0.93
Tail Light Right,8306,0.88
Hinge Bonnet|Hood Left,7934,0.84
Hinge Bonnet|Hood Right,7877,0.83
Bracket 1,7523,0.8
Tail Light Left,6937,0.73
Fender Wheel Well Lining|Guard|Cover Left,6855,0.73
Fender Wheel Well Lining|Guard|Cover Right,6511,0.69
Dicky | Trunk Assembly,5842,0.62
Sealant Body 1,5137,0.54
Door Front Right,4996,0.53
Door Rear Right,4847,0.51
Bumper Front Upper,4791,0.51
CLIP,4530,0.48
Side Rear View Mirror Outer Assembly Right,4470,0.47
Bracket Front Bumper Left,4133,0.44
Radiator Cooling Fan Assembly,4076,0.43
Bracket Front Bumper Right,3930,0.42
Quarter Panel Rear Right,3881,0.41
Cover Fog Light Left,3727,0.39
Cover Fog Light Right,3706,0.39
Door Front Left,3651,0.39
AC Gas - Refrigerant,3387,0.36
Side Rear View Mirror Outer Assembly Left,3304,0.35
Grille Radiator Middle,3285,0.35
Sealant Rear Windshield Glass 1,3171,0.34
Reservoir Tank Assembly Windshield Washer,3108,0.33
Door Rear Left,3036,0.32
BOLT,3027,0.32
Bumper Front Lower,3015,0.32
NUT,2731,0.29
Carrier Radiator Support Lower Member,2579,0.27
Latch Bonnet|Hood,2457,0.26
Windshield Glass Rear,2448,0.26
Emblem|Logo Rear Middle,2360,0.25
Bracket 2,2289,0.24
Fog Light Front Right,2285,0.24
RADIATOR ASSY,2276,0.24
AIR DRYING SEALANT,2157,0.23
CONDENSER ASSY,2131,0.23
Fog Light Front Left,2069,0.22
Lower Arm Front Right,1957,0.21
Quarter Panel Rear Left,1868,0.2
"GRILLE,RADIATOR LOWER",1833,0.19
Brackets,1776,0.19
Emblem|Logo Front Grille,1743,0.18
Lower Arm Front Left,1669,0.18
Bonnet|Hood Lock Panel,1652,0.17
"EMBLEM,MARK(S)",1619,0.17
Bumper Rear Upper,1560,0.17
Bumper Absorber Front 1,1551,0.16
Garnish Bumper Front,1550,0.16
Coolant Liquid,1520,0.16
Back Panel Assembly,1454,0.15
SCREW,1400,0.15
Cross Member Suspension Frame Front,1380,0.15
Bumper Rear Lower,1373,0.15
Garnish Grille Radiator,1365,0.14
EMBLEM,1349,0.14
"HOLDER,FR BUMPER SIDE,R",1338,0.14
"HOLDER,FR BUMPER SIDE,L",1329,0.14
Carrier Radiator Support Upper Member,1323,0.14
Inter Cooler,1287,0.14
Carrier Radiator Support Center Member 1,1279,0.14
Hose Discharge,1277,0.14
Tow Hook Cover Bumper Front,1252,0.13
HOLDER,1245,0.13
"GRILLE COMP,RADIATOR UPPER",1235,0.13
SEALENT SET,1198,0.13
DG SEALANT SET WITHOUT PRIMER,1175,0.12
Tyre Front Right,1127,0.12
"BEZEL,FRONT FOG LAMP,L",1100,0.12
"BEZEL,FRONT FOG LAMP,R",1089,0.12
Garnish Dicky,1079,0.11
"HOLDER,RR BUMPER SIDE,R",1066,0.11
Bumper Rail Front,1046,0.11
Pipe/Tube Liquid,1029,0.11
Parking Sensor,1007,0.11
Oxygen Sensor,1006,0.11
Sealant Front Windshield Glass 2,995,0.11
AC Gas Refrigerant Recovery and Refill,991,0.1
Wheel Rim Steel Front Right,978,0.1
"CROSSMEMBER,FRONT LOWER",949,0.1
"EMBLEM,MARK(S)(CHROME)",946,0.1
WHEEL COMP,936,0.1
Apron Fender Right,930,0.1
Strut McPherson Front Right,928,0.1
Drive Shaft- Constant Velocity Axle RIght,922,0.1
"GUIDE,GRILLE AIR",902,0.1
"LINING,FRONT FENDER,R",897,0.09
"COVER,ENGINE UNDER SIDE,R",893,0.09
Airbag Control Module,885,0.09
Apron Fender Left,875,0.09
"LINING,FRONT FENDER,L",871,0.09
Roof Panel Assembly,862,0.09
"HOLDER,RR BUMPER SIDE,L",858,0.09
Hose Suction,856,0.09
AC CAN GAS,845,0.09
"CAP,FRONT BUMPER",830,0.09
Carrier Bulkhead Radiator Support,829,0.09
Strut McPherson Front Left,807,0.09
Bumper Under Guard Cover,794,0.08
Tyre Front Left,786,0.08
